Date,Year,Month,Astore,Bunji,Chilas,Dainyour,Gilgit,Hunza,Khunjrab,Ramma,Shigar,Skardu,Ziarat
1995-02,1995,02,59.5,10,12.8,14.45,3.6,12.68,14.45,53.25,67.6,39.8,59.28
1995-03,1995,03,43.2,1.8,5.2,5.86,1,5.43,5.86,34.87,22.56,2.8,14.04
1995-04,1995,04,91,14.3,29.4,29.66,25.7,22.75,29.66,77.18,53.24,17.8,40.24
1995-05,1995,05,36.8,6.5,9.3,14.41,18.6,22.35,14.41,16.13,0.83,14.7,2.49
1995-06,1995,06,45.7,14.4,5.4,18.81,9.8,19.53,18.81,31.75,4.47,7.5,8.47
1995-07,1995,07,63.6,60.4,19,4.18,22.5,4.12,4.18,13.23,7.17,49,3.69
1995-08,1995,08,11.2,16.2,26.6,8.57,5.6,11.47,8.57,5.69,15.6,12.8,8.21
1995-09,1995,09,4.6,3.6,12.5,12.66,7.1,11.78,12.66,13.81,3.22,5,3.69
1995-10,1995,10,25.8,13,2.5,3.88,4.8,6.44,3.88,3.75,4.68,0,2.34
1995-11,1995,11,16.9,1.6,8.4,0.45,2,0,0.45,4.26,9.46,0,2.34
1995-12,1995,12,30.2,2,0.8,8.08,7.5,8.9,8.08,13.05,16.74,12.4,21.16
1996-01,1996,01,35.3,6,75,0.26,20.1,0.8,0.26,3.45,11.54,61.1,5.77
1996-02,1996,02,52.5,13.5,20.1,20.11,6,2.41,20.11,57.56,129.27,67,69.16
1996-03,1996,03,211.9,29.8,112.5,10.82,40.1,5.43,10.82,47.59,79.45,80.8,44.98
1996-04,1996,04,170.8,65.2,100.2,27.67,41.1,30.91,27.67,68.46,108.57,64.3,71.29
1996-05,1996,05,174.1,73.3,163.3,60.05,72.8,52.56,60.05,127.46,119.91,74.1,69.31
1996-06,1996,06,110.1,30.5,67,17.75,48,9.16,17.75,50.29,5.3,32.3,9.93
1996-07,1996,07,18.4,17.5,9,55.71,13.2,66.56,55.71,70.33,25.79,5.9,37.38
1996-08,1996,08,29.4,1.8,12.8,64.27,4.2,35.04,64.27,45.4,30.78,38,59.02
1996-09,1996,09,5.6,0,1,13.45,0,21.75,13.45,11.45,0.62,0,12.79
1996-10,1996,10,52.2,12.6,8.5,2.84,5.7,6.44,2.84,1.87,2.08,8.8,1.04
1996-11,1996,11,3.6,0,0,0,0,0,0,0,0,0.3,0
1996-12,1996,12,9.8,2.4,0,0.37,0.5,0.5,0.37,0.31,1.87,17.6,0
